,index,COUNTRY,ISO3,0,1,2,3,4,5,6,7,8,9,10,11
131,131,Mauritius,MUS,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield,,,,,,,,,
132,132,Mexico,MEX,AstraZeneca - Vaxzevria,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,,,,,
133,133,Micronesia (Federated States of),FSM,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,,,,,,,,
134,134,Monaco,MCO,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax - Covavax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine,,,,,
135,135,Mongolia,MNG,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,,,
136,136,Montenegro,MNE,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,Unknown Vaccine,,,,,,,
137,137,Montserrat,MSR,AstraZeneca - Vaxzevria,,,,,,,,,,,
138,138,Morocco,MAR,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,,
139,139,Mozambique,MOZ,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield,,,,,,,,,
140,140,Myanmar,MMR,Beijing CNBG - BBIBP-CorV,SII - Covishield,,,,,,,,,,
141,141,Namibia,NAM,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,,,,,
142,142,Nauru,NRU,AstraZeneca - Vaxzevria,SII - Covishield,,,,,,,,,,
143,143,Nepal,NPL,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,
144,144,Netherlands,NLD,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine,,,,,,
145,145,New Caledonia,NCL,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,,,,,,,,,,
146,146,New Zealand,NZL,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,,,,,,,,
147,147,Nicaragua,NIC,AstraZeneca - Vaxzevria,CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,,,
148,148,Niger,NER,Beijing CNBG - BBIBP-CorV,SII - Covishield,,,,,,,,,,
149,149,Nigeria,NGA,SII - Covishield,,,,,,,,,,,
150,150,Niue,NIU,Pfizer BioNTech - Comirnaty,,,,,,,,,,,
151,151,North Macedonia,MKD,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated,,,,,
152,152,Northern Mariana Islands (Commonwealth of the),MNP,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,,,,,,,,,
153,153,Norway,NOR,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,,,,,,,,
154,154,occupied Palestinian territory,PSE,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,,
155,155,Oman,OMN,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,
156,156,Pakistan,PAK,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,
157,157,Palau,PLW,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,,,,,,,,,
158,158,Panama,PAN,AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,,,,,,,,,,
159,159,Papua New Guinea,PNG,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield,,,,,,,,
160,160,Paraguay,PRY,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,,,,
161,161,Peru,PER,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,,,,,,,,
162,162,Philippines,PHL,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Julphar - Hayat-Vax,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,
163,163,Pitcairn Islands,PCN,AstraZeneca - Vaxzevria,,,,,,,,,,,
164,164,Poland,POL,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,,,,,,,
165,165,Portugal,PRT,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna â€“ Spikevax Bivalent Original/Omicron BA.1,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5,Sinovac - CoronaVac,
166,166,Puerto Rico,PRI,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,,,,,,,,
167,167,Qatar,QAT,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,,
168,168,Republic of Korea,KOR,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,,,,,,,
169,169,Republic of Moldova,MDA,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,,,,,
170,170,Romania,ROU,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,,,,,,,,
171,171,Russian Federation,RUS,SRCVB - EpiVacCorona, Gamaleya - Sputnik V,,,,,,,,,,
172,172,Rwanda,RWA,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,,,,,
173,173,Saba,XCA,,,,,,,,,,,,
174,174,"Saint Helena, Ascension and Tristan da Cunha",SHN,AstraZeneca - AZD1222,,,,,,,,,,,
175,175,Saint Kitts and Nevis,KNA,AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,,,,,,
176,176,Saint Lucia,LCA,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,,,,
177,177,Saint Vincent and the Grenadines,VCT,AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,,,,
178,178,Samoa,WSM,AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,,,,,,,,,,
179,179,San Marino,SMR,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,,,,,,,,,,
180,180,Sao Tome and Principe,STP,AstraZeneca - Vaxzevria,SII - Covishield,,,,,,,,,,
181,181,Saudi Arabia,SAU,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,,
182,182,Senegal,SEN,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield,,,,,,,,,
183,183,Serbia,SRB,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,,,,,,,
184,184,Seychelles,SYC,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,SII - Covishield,,,,,,,,
185,185,Sierra Leone,SLE,Beijing CNBG - BBIBP-CorV,SII - Covishield,,,,,,,,,,
186,186,Singapore,SGP,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,,,,,,,,
187,187,Sint Eustatius,XBA,,,,,,,,,,,,
188,188,Sint Maarten,SXM,AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,,,,,,,,,
189,189,Slovakia,SVK,AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine,,,,,
190,190,Slovenia,SVN,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine,,,,,,
191,191,Solomon Islands,SLB,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,,,,,
